DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,    
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2007,147957.7,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2008,151907.1,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2009,151075.0,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2010,152598.8,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2011,150180.0,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2012,146302.8,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2013,139184.1,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2014,133945.7,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2015,133386.0,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2016,135441.4,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2017,138165.4,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2018,138153.1,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2019,137994.4,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2020,138130.0,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2021,142067.5,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2022,146621.4,
